,1_week,2_week,3_week,1_month,2_month,6_month,12_month
00DS30,0.18,0.16,0.4,1.6,1.05,0.12,4.19
00DSEX,0.27,0.1,0.75,1.26,0.16,2.01,0.92
BATBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBSCABLES,0.0,0.0,0.0,0.0,0.0,0.0,
BEACONPHAR,2.33,1.27,2.25,11.15,4.73,16.78,
BEXIMCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRACBANK,0.0,0.0,0.0,0.0,0.0,7.54,7.54
BSC,1.19,8.52,10.99,10.22,11.53,6.06,7.81
BSCCL,0.0,0.0,0.0,0.0,0.0,0.0,
BSRMLTD,0.0,0.0,0.0,0.0,0.0,0.0,
BXPHARMA,0.04,0.1,0.58,0.38,0.04,0.04,0.04
CITYBANK,0.0,0.0,0.0,0.0,0.0,1.87,1.87
DELTALIFE,0.07,0.36,0.07,0.0,0.0,10.9,0.0
FORTUNE,0.0,0.0,0.0,0.0,0.0,0.0,
GP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPHISPAT,0.0,0.0,0.0,0.0,0.0,0.0,
IDLC,0.0,0.0,0.0,0.0,0.0,0.0,
IFIC,0.0,0.0,0.0,0.0,0.0,2.68,2.68
ISLAMIBANK,0.3,0.0,0.9,0.3,1.2,1.23,
LHBL,0.0,0.0,0.0,0.0,0.0,5.95,5.68
MPETROLEUM,0.0,0.0,0.0,0.0,0.0,0.75,0.0
OLYMPIC,0.03,1.0,0.84,7.37,15.39,17.59,16.14
ORIONPHARM,1.98,3.6,2.8,2.35,0.5,4.03,4.03
POWERGRID,0.0,0.0,0.0,0.0,0.0,0.0,
RENATA,0.0,0.0,0.0,0.0,0.0,0.0,
ROBI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEAPEARL,12.76,16.28,23.8,34.1,32.67,14.94,34.22
SOUTHEASTB,0.0,0.0,0.0,0.0,0.0,3.76,
SQURPHARMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TITASGAS,0.0,0.0,0.0,0.0,0.0,0.0,
UNIQUEHRL,1.29,4.73,7.62,17.87,5.97,18.68,1.83
UPGDCL,0.0,0.0,0.0,0.0,0.0,0.0,
