,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
00DS30,2107.12353,1901.3708539804811,9.76462334,2195.495722124744,4.19
00DSEX,6266.85182,5710.538664548096,8.877075307,6208.961969461005,0.92
BATBC,518.7,421.4830081281713,18.65608468,518.7,0.0
BBSCABLES,,,,49.9,
BEACONPHAR,,,,286.1051822823265,
BEXIMCO,115.6,88.19781603162515,23.07287743,115.6,0.0
BRACBANK,35.8,26.814170844692697,24.98210793,38.5,7.54
BSC,107.0,183.45326790818336,71.11238073,115.3613175198894,7.81
BSCCL,,,,218.9,
BSRMLTD,,,,90.0,
BXPHARMA,146.2,109.36200065229494,24.61667161,146.14869747191713,0.04
CITYBANK,21.4,17.33062227309417,18.8656934,21.8,1.87
DELTALIFE,136.5,94.95071835708026,30.28388405,136.5,0.0
FORTUNE,,,,75.7,
GP,286.6,234.8934906716331,17.96084021,286.6,0.0
GPHISPAT,,,,44.8,
IDLC,,,,46.5,
IFIC,11.2,7.647284940708449,31.4683262,11.5,2.68
ISLAMIBANK,,,,33.0,
LHBL,68.7,58.401548418580646,14.94318505,64.8,5.68
MPETROLEUM,198.6,197.15810135924173,0.74705009,198.6,0.0
OLYMPIC,147.9,95.67071373882116,35.25767777,124.03290505576612,16.14
ORIONPHARM,79.6,73.15560706127705,7.981378366,82.81081832644774,4.03
POWERGRID,,,,52.4,
RENATA,,,,1217.9,
ROBI,30.0,25.910457767602505,13.51853963,30.0,0.0
SEAPEARL,139.1,813.080931874602,477.1656903,186.7,34.22
SOUTHEASTB,,,,13.8,
SQURPHARMA,209.8,203.6726306607148,2.908805055,209.8,0.0
TITASGAS,,,,40.9,
UNIQUEHRL,56.7,63.29657689611053,11.60408227,57.73523322884919,1.83
UPGDCL,,,,233.7,
