,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
00DS30,2199.04861,2182.740862376908,0.741581953,2195.495722123664,0.16
00DSEX,6215.04937,6183.106539003242,0.513959409,6208.961969431839,0.1
BATBC,518.7,514.4909663158909,0.8114582,518.7,0.0
BBSCABLES,49.9,49.61437596036983,0.572392865,49.9,0.0
BEACONPHAR,289.8,306.58800786591905,5.792963377,286.105182279681,1.27
BEXIMCO,115.6,114.11011472508346,1.288828092,115.6,0.0
BRACBANK,38.5,37.89711928113788,1.565923945,38.5,0.0
BSC,126.1,118.525394281425,6.006824519,115.3613175198894,8.52
BSCCL,218.9,219.3870434924517,0.222495885,218.9,0.0
BSRMLTD,90.0,89.3371899430203,0.736455619,90.0,0.0
BXPHARMA,146.3,144.1989860968018,1.436099729,146.14869747214345,0.1
CITYBANK,21.8,21.59962154123636,0.919167242,21.8,0.0
DELTALIFE,137.0,134.6365906580183,1.725116308,136.5,0.36
FORTUNE,75.7,74.88090495282377,1.082027803,75.7,0.0
GP,286.6,284.13631527022136,0.859624818,286.6,0.0
GPHISPAT,44.8,44.4136558472091,0.862375341,44.8,0.0
IDLC,46.5,45.95094776651735,1.180757491,46.5,0.0
IFIC,11.5,11.303925059133492,1.704999486,11.5,0.0
ISLAMIBANK,33.0,33.059831054311736,0.181306225,33.0,0.0
LHBL,64.8,64.47429267796032,0.502634756,64.8,0.0
MPETROLEUM,198.6,198.59819187597816,0.000910435,198.6,0.0
OLYMPIC,122.8,123.38221008109964,0.474112444,124.03290505576612,1.0
ORIONPHARM,85.9,82.32403975237764,4.162933932,82.81081832644318,3.6
POWERGRID,52.4,52.07217793630153,0.61533508,52.4,0.0
RENATA,1217.9,1214.061864454159,0.315143735,1217.9,0.0
ROBI,30.0,29.845779394828405,0.514068684,30.0,0.0
SEAPEARL,223.0,203.2770273019298,8.844382376,186.7,16.28
SOUTHEASTB,13.8,13.719828296930991,0.58095437,13.8,0.0
SQURPHARMA,209.8,209.5401748052625,0.12384423,209.8,0.0
TITASGAS,40.9,41.21790807419076,0.642948578,40.9,0.0
UNIQUEHRL,60.6,56.36004250700354,6.996629526,57.73523322884919,4.73
UPGDCL,233.7,233.0953819815276,0.242343035,233.7,0.0
