,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
ACB,24.65,21.02,14.72,21.89,11.18
BCM,84.50,81.58,3.46,80.64,4.56
BID,44.50,39.49,11.26,38.69,13.06
BVH,49.25,45.80,7.01,46.60,5.39
CTG,29.90,26.79,10.39,27.24,8.90
FPT,81.20,75.59,6.91,76.94,5.25
GAS,107.30,102.27,4.69,101.53,5.38
GVR,14.75,12.64,14.32,13.80,6.44
HDB,18.30,15.15,17.20,15.95,12.83
HPG,20.85,16.84,19.25,18.00,13.67
MBB,18.40,16.43,10.72,17.09,7.14
MSN,93.50,90.28,3.44,92.93,0.61
MWG,44.50,38.59,13.29,42.90,3.60
NVL,14.30,11.86,17.09,13.59,5.00
PDR,12.35,11.73,5.01,13.61,10.20
PLX,37.20,30.38,18.32,31.73,14.72
POW,12.25,10.15,17.11,10.64,13.11
SAB,197.20,172.50,12.53,167.36,15.13
SSI,19.50,16.06,17.66,17.72,9.14
STB,25.00,21.78,12.87,22.49,10.02
TCB,27.85,24.21,13.06,25.83,7.25
TPB,24.60,19.81,19.48,21.09,14.29
VCB,94.20,80.40,14.65,79.92,15.16
VHM,46.60,45.70,1.94,48.01,3.02
VIB,23.20,17.49,24.61,19.01,18.06
VIC,54.40,51.10,6.06,53.82,1.07
VJC,108.00,107.92,0.07,109.49,1.38
VN30INDEX,1073.38,973.10,9.34,1005.10,6.36
VNINDEX,1072.22,974.47,9.12,1006.91,6.09
VNM,75.80,75.68,0.15,76.12,0.42
VPB,17.95,16.93,5.68,17.90,0.27
VRE,28.50,26.72,6.23,26.32,7.65
,,,,,
Mean,,,10.86,,8.01
Media,,,10.99,,7.20
Range,,,24.54,,17.79
Min,,,0.07,,0.27
Max,,,24.61,,18.06
Standard Deviation,,,6.16,,4.93
