,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
ACB,26.05,21.30,18.25,21.89,15.95
BCM,84.80,81.15,4.31,80.64,4.90
BID,45.10,39.35,12.74,38.69,14.22
BVH,50.40,45.98,8.77,46.60,7.55
CTG,30.50,27.00,11.48,27.24,10.69
FPT,83.50,75.98,9.01,76.94,7.86
GAS,106.30,102.11,3.94,101.53,4.49
GVR,16.70,12.92,22.64,13.80,17.37
HDB,18.65,15.40,17.41,15.95,14.47
HPG,22.10,17.20,22.15,18.00,18.55
MBB,19.55,16.67,14.72,17.09,12.61
MSN,101.10,91.63,9.37,92.93,8.08
MWG,46.50,39.64,14.75,42.90,7.74
NVL,14.20,12.40,12.65,13.59,4.33
PDR,13.85,12.31,11.11,13.61,1.74
PLX,36.80,30.76,16.43,31.73,13.79
POW,12.40,10.28,17.13,10.64,14.16
SAB,189.00,172.09,8.95,167.36,11.45
SSI,21.60,16.51,23.56,17.72,17.98
STB,27.10,21.95,19.00,22.49,16.99
TCB,29.40,24.63,16.22,25.83,12.14
TPB,25.00,20.14,19.44,21.09,15.66
VCB,91.90,80.33,12.59,79.92,13.04
VHM,50.90,46.30,9.04,48.01,5.68
VIB,23.55,17.91,23.95,19.01,19.28
VIC,57.10,51.80,9.28,53.82,5.74
VJC,116.30,108.35,6.83,109.49,5.86
VN30INDEX,1125.07,983.39,12.59,1005.10,10.66
VNINDEX,1111.18,984.50,11.40,1006.91,9.38
VNM,77.10,75.88,1.58,76.12,1.28
VPB,19.45,17.23,11.42,17.90,7.96
VRE,29.70,26.83,9.68,26.32,11.38
,,,,,
Mean,,,13.20,,10.72
Media,,,12.59,,11.04
Range,,,22.37,,18.00
Min,,,1.58,,1.28
Max,,,23.95,,19.28
Standard Deviation,,,5.64,,4.95
