Date,Scrip,Open,High,Low,Close,Volume
20230807,00DS30,2143.83573,2147.50966,2135.93623,2138.40125,4685009000
20230807,00DSES,1368.23068,1370.34273,1365.35889,1366.27164,4685009000
20230807,00DSEX,6315.81444,6321.4354,6295.44588,6299.65597,4685009000
20230807,1JANATAMF,6.1,6.1,6.1,6.1,4000
20230807,1STPRIMFMF,15.3,15.3,14.9,15,65699
20230807,AAMRANET,62.2,62.7,61,61.4,422958
20230807,AAMRATECH,33,33.3,32.4,32.6,153288
20230807,ABB1STMF,5.2,5.2,5.2,5.2,2010
20230807,ABBANK,9.7,9.7,9.7,9.7,3840
20230807,ACI,260.2,260.2,260.2,260.2,27
20230807,ACIFORMULA,155,155,155,155,5
20230807,ACMELAB,85,85,85,85,19671
20230807,ACTIVEFINE,19.3,19.3,19.3,19.3,200
20230807,ADNTEL,140.9,140.9,135.2,136.3,316384
20230807,ADVENT,23.9,23.9,23.5,23.6,496082
20230807,AFCAGRO,23.5,23.5,23.5,23.5,730
20230807,AFTABAUTO,26.1,26.8,25.8,26,82741
20230807,AGNISYSL,27,27,26.4,26.5,532358
20230807,AGRANINS,41.6,41.7,40.2,40.3,56506
20230807,AIBL1STIMF,7.3,7.3,7.3,7.3,20000
20230807,AIL,94.3,96.4,91.9,92.8,942671
20230807,AL-HAJTEX,194,197.8,193,194,134364
20230807,ALARABANK,23.9,24.1,23.9,24,126538
20230807,ALIF,13.3,13.3,13.3,13.3,1670
20230807,ALLTEX,17.5,17.5,17.5,17.5,5000
20230807,AMANFEED,33.5,33.5,33.5,33.5,1
20230807,AMBEEPHA,511,533.4,511,533.2,2196
20230807,AMCL(PRAN),262.2,265.3,261.2,261.8,7442
20230807,ANLIMAYARN,36.9,36.9,35,35.3,68991
20230807,ANWARGALV,213.3,213.3,213.3,213.3,1537
20230807,AOL,36.5,36.5,36.5,36.5,13221
20230807,APEXFOODS,420,434.4,420,422.2,41095
20230807,APEXFOOT,286.9,290,286.2,286.5,15809
20230807,APEXSPINN,135.7,135.7,133.7,134.1,14035
20230807,APEXTANRY,104.5,105,104,104,6947
20230807,ARAMIT,265.9,266,261.7,261.8,2637
20230807,ARAMITCEM,24.6,24.6,23.8,23.9,28192
