#,Ticker Symbol,Stock Name
1,VNINDEX,HOSE market index
2,VN30INDEX,HOSE market index
3,ACB,Asia Commercial Bank
4,BCM,Becamex IDC Corporation
5,BID,Bank for Investment and Development of Vietnam
6,BVH,Bao Viet Holdings
7,CTG,Vietnam Commercial Bank for Industry and Trade
8,FPT,FPT Corporation
9,GAS,PetroVietnam Gas Jsc.
10,GVR,Gelex Homes JSC
11,HDB,HDBank
12,HPG,Hoa Phat Group
13,MBB,Military Commercial Joint Stock Bank
14,MSN,Masan Group Corporation
15,MWG,Mobile World Investment Corporation
16,NVL,Novaland Group
17,PDR,Phat Dat Real Estate Development JSC
18,PLX,Viet Nam National Petroleum Group
19,POW,PetroVietnam Power Corporation
20,SAB,Saigon Beer - Alcohol - Beverage Corporation
21,SSI,SSI Securities Corporation
22,STB,Sacombank
23,TCB,Techcombank
24,TPB,Tien Phong Commercial Joint Stock Bank
25,VCB,Vietcombank
26,VHM,Vincom Homes
27,VIB,Bank for Foreign Trade of Vietnam
28,VIC,Vingroup JSC
29,VJC,Vietjet Aviation JSC
30,VNM,Viet Nam Dairy Products Jsc.
31,VPB,Vietnam Prosperity Bank
32,VRE,Vincom Retail Jsc.
