date,ticker,open,high,low,close,volume
2023-01-01,00DS30,2195.30158,2205.14579,2192.68497,2193.60229,1784259000
2023-01-01,00DSEX,6206.81389,6222.89281,6194.37735,6195.37281,1784259000
2023-01-01,BATBC,518.7,518.7,518.7,518.7,813
2023-01-01,BBSCABLES,49.9,49.9,49.9,49.9,4942
2023-01-01,BEACONPHAR,304.5,304.5,282.1,284.0,35311
2023-01-01,BEXIMCO,115.6,115.6,115.6,115.6,792
2023-01-01,BRACBANK,38.5,38.5,38.5,38.5,1953
2023-01-01,BSC,115.9,116.5,112.8,113.2,458165
2023-01-01,BSCCL,218.9,218.9,218.9,218.9,181
2023-01-01,BSRMLTD,90.0,90.0,90.0,90.0,208
2023-01-01,BXPHARMA,146.2,147.0,146.2,146.2,74794
2023-01-01,CITYBANK,21.8,21.8,21.8,21.8,15341
2023-01-01,DELTALIFE,136.5,136.5,136.5,136.5,2407
2023-01-01,FORTUNE,75.7,75.7,75.7,75.7,464
2023-01-01,GP,286.6,286.6,286.6,286.6,1154
2023-01-01,GPHISPAT,44.8,44.8,44.8,44.8,248
2023-01-01,IDLC,46.5,46.5,46.5,46.5,3802
2023-01-01,IFIC,11.5,11.5,11.5,11.5,96019
2023-01-01,ISLAMIBANK,33.0,33.4,33.0,33.3,147315
2023-01-01,LHBL,64.8,64.8,64.8,64.8,32836
2023-01-01,MPETROLEUM,198.6,198.6,198.6,198.6,191
2023-01-01,OLYMPIC,124.7,124.7,121.0,121.2,61320
2023-01-01,ORIONPHARM,82.8,83.5,80.6,80.9,1087995
2023-01-01,POWERGRID,52.4,52.4,52.4,52.4,351
2023-01-01,RENATA,1217.9,1217.9,1217.9,1217.9,250
2023-01-01,ROBI,30.0,30.0,30.0,30.0,822
2023-01-01,SEAPEARL,191.0,195.0,183.4,184.0,209286
2023-01-01,SOUTHEASTB,13.8,13.8,13.8,13.8,3592
2023-01-01,SQURPHARMA,209.8,209.8,209.8,209.8,6372
2023-01-01,TITASGAS,40.9,40.9,40.9,40.9,3570
2023-01-01,UNIQUEHRL,56.0,57.8,56.0,56.6,133026
2023-01-01,UPGDCL,233.7,233.7,233.7,233.7,76
2023-01-02,00DS30,2193.60229,2196.0399,2190.98583,2191.43164,1465109000
2023-01-02,00DSEX,6195.37281,6197.66825,6176.9144,6177.87984,1465109000
2023-01-02,BATBC,518.7,518.7,518.7,518.7,1434
2023-01-02,BBSCABLES,49.9,49.9,49.9,49.9,65
2023-01-02,BEACONPHAR,287.0,289.9,281.0,281.3,28077
2023-01-02,BEXIMCO,115.6,115.6,115.6,115.6,125
2023-01-02,BRACBANK,38.5,38.5,38.5,38.5,800
2023-01-02,BSC,113.8,113.8,110.1,110.4,250446
2023-01-02,BSCCL,218.9,218.9,218.9,218.9,5
2023-01-02,BSRMLTD,90.0,90.0,90.0,90.0,58
2023-01-02,BXPHARMA,146.2,146.2,146.2,146.2,16261
2023-01-02,CITYBANK,21.8,21.8,21.8,21.8,46708
2023-01-02,DELTALIFE,136.5,136.5,136.5,136.5,1022
2023-01-02,FORTUNE,75.7,75.7,75.7,75.7,1
2023-01-02,GP,286.6,286.6,286.6,286.6,10634
2023-01-02,GPHISPAT,44.8,44.8,44.8,44.8,4786
