date,ticker,open,high,low,close,volume
2023-12-29,ACB,23.9,24.1,23.8,23.9,10268240
2023-12-28,ACB,23.3,23.95,23.3,23.75,11166000
2023-12-27,ACB,23.2,23.4,23.2,23.3,4866000
2023-12-26,ACB,23.4,23.4,23.25,23.25,5823800
2023-12-25,ACB,23.25,23.45,23.2,23.35,7582400
2023-12-22,ACB,23.2,23.3,23.2,23.2,4510000
2023-12-21,ACB,23.2,23.25,23.05,23.25,7260790
2023-12-20,ACB,23.05,23.25,23.05,23.2,9021600
2023-12-19,ACB,22.8,23.1,22.8,23.05,11758400
2023-12-18,ACB,22.7,22.8,22.65,22.8,7600000
2023-12-15,ACB,22.6,22.85,22.55,22.75,6189100
2023-12-14,ACB,22.4,22.75,22.3,22.5,6945700
2023-12-13,ACB,22.5,22.55,22.3,22.3,4099900
2023-12-12,ACB,22.45,22.5,22.3,22.5,3228202
2023-12-11,ACB,22.45,22.5,22.25,22.4,2274400
2023-12-08,ACB,22.4,22.55,22.3,22.4,3812500
2023-12-07,ACB,22.3,22.5,22.2,22.4,7237600
2023-12-06,ACB,22.15,22.3,22.0,22.3,2791901
2023-12-05,ACB,22.3,22.45,22.05,22.15,4558000
2023-12-04,ACB,22.05,22.45,22.0,22.3,9061002
2023-12-01,ACB,22.15,22.15,21.75,21.95,5734700
2023-11-30,ACB,22.05,22.3,21.95,21.95,5263601
2023-11-29,ACB,22.0,22.35,22.0,22.05,5818800
2023-11-28,ACB,21.9,22.1,21.7,21.9,4217100
2023-11-27,ACB,22.05,22.1,21.85,21.85,3259000
2023-11-24,ACB,22.3,22.3,21.8,22.05,7898300
2023-11-23,ACB,22.7,22.75,22.2,22.2,5181901
2023-11-22,ACB,22.5,22.75,22.35,22.7,4634101
2023-11-21,ACB,22.65,22.8,22.5,22.6,3711000
2023-11-20,ACB,22.4,22.95,22.15,22.5,10207600
2023-11-17,ACB,23.4,23.4,22.55,22.7,12350400
2023-11-16,ACB,23.25,23.4,23.1,23.3,8517301
2023-11-15,ACB,23.0,23.5,22.95,23.25,32333400
2023-11-14,ACB,22.45,22.9,22.45,22.7,10301201
2023-11-13,ACB,22.45,22.6,22.2,22.45,3492000
2023-11-10,ACB,22.4,22.6,22.25,22.4,5047700
2023-11-09,ACB,22.9,22.9,22.55,22.55,4763901
2023-11-08,ACB,22.1,22.9,22.05,22.8,8011900
2023-11-07,ACB,22.1,22.25,22.1,22.1,4455000
2023-11-06,ACB,22.2,22.35,22.1,22.2,4601000
2023-11-03,ACB,22.3,22.4,22.05,22.05,6725500
2023-11-02,ACB,21.75,22.3,21.6,22.3,5148101
2023-11-01,ACB,21.4,21.65,21.35,21.6,4832800
2023-10-31,ACB,21.35,21.55,21.25,21.4,3489400
2023-10-30,ACB,21.6,21.65,21.3,21.3,3856500
2023-10-27,ACB,21.45,21.7,21.2,21.55,3180900
2023-10-26,ACB,21.75,21.75,20.95,21.1,12806465
2023-10-25,ACB,22.2,22.25,21.9,21.9,2637101
2023-10-24,ACB,21.95,22.1,21.8,21.9,3366603
2023-10-23,ACB,22.1,22.1,21.7,21.8,2398301
2023-10-20,ACB,21.8,22.1,21.8,21.9,3800201
2023-10-19,ACB,22.05,22.15,21.8,21.8,6209300
2023-10-18,ACB,22.45,22.45,22.05,22.05,6208800
2023-10-17,ACB,22.6,22.65,22.45,22.45,3657500
2023-10-16,ACB,22.55,22.7,22.4,22.6,4784800
2023-10-13,ACB,22.6,22.7,22.5,22.65,4691800
2023-10-12,ACB,22.7,22.9,22.5,22.7,5633800
