Date,Scrip,Open,High,Low,Close,Volume
20231123,00DS30,2103.20444,2107.63003,2103.20444,2106.71899,3703799000
20231123,00DSES,1350.59633,1353.10146,1350.64,1352.53885,3703799000
20231123,00DSEX,6224.4719,6234.95987,6224.71962,6233.70801,3703799000
20231123,1JANATAMF,6.1,6.1,6.1,6.1,1001
20231123,1STPRIMFMF,14.8,14.8,14.3,14.5,29253
20231123,AAMRANET,52,53.6,52,53.3,326259
20231123,AAMRATECH,30.4,30.6,30.4,30.4,112312
20231123,ABBANK,9.7,9.7,9.7,9.7,65
20231123,ACFL,26.5,26.5,26.5,26.5,52
20231123,ACI,260.2,260.2,260.2,260.2,2
20231123,ACIFORMULA,155,155,155,155,3
20231123,ACMELAB,85,85,85,85,83
20231123,ACTIVEFINE,19.3,19.3,19.3,19.3,1
20231123,ADNTEL,97,97,95,96.2,229984
20231123,ADVENT,22.7,22.8,22.6,22.7,324481
20231123,AFTABAUTO,25.6,25.8,25.2,25.5,103964
20231123,AGNISYSL,23.3,23.3,23,23.2,287473
20231123,AGRANINS,37.7,38.5,37.5,37.6,34717
20231123,AIBL1STIMF,7.3,7.3,7.3,7.3,6
20231123,AIL,81.2,81.2,78.9,80.3,591535
20231123,AL-HAJTEX,132.1,132.1,132.1,132.1,602
20231123,ALARABANK,23.6,23.8,23.6,23.7,274440
20231123,ALIF,13.3,13.3,13.3,13.3,65650
20231123,ALLTEX,17.5,17.5,17.5,17.5,9140
20231123,AMANFEED,33.5,33.5,33.5,33.5,17467
20231123,AMCL(PRAN),252,252,252,252,1168
20231123,ANLIMAYARN,31.7,31.8,31.6,31.6,32035
20231123,ANWARGALV,213.3,213.3,213.3,213.3,2
20231123,AOL,36.5,36.5,36.5,36.5,1501
20231123,APEXFOODS,296.6,304.8,296.6,299.1,26640
20231123,APEXFOOT,257.5,261,257.5,258,118884
20231123,APEXSPINN,117.8,120,117.8,118.1,10184
20231123,APEXTANRY,99.3,99.6,99.3,99.3,8616
20231123,ARAMIT,259.5,264.3,259.5,263.9,15658
20231123,ARAMITCEM,23.2,23.6,23.1,23.5,102276
20231123,ARGONDENIM,18.2,18.4,18.2,18.2,46742
20231123,ASIAINS,50.6,50.6,49.1,49.5,207933
20231123,ASIAPACINS,54.6,54.8,53.6,53.7,286741
20231123,AZIZPIPES,119,121.7,113.7,115,438521
20231123,BANGAS,114.3,119,113,116.6,105063
20231123,BANKASIA,20.2,20.2,20.2,20.2,21
20231123,BATASHOE,970,970,970,970,350
20231123,BATBC,518.7,518.7,518.7,518.7,304
20231123,BBS,21.6,21.6,21.6,21.6,5
20231123,BDAUTOCA,127,129.6,125,128.1,24742
20231123,BDCOM,34.5,34.5,34.1,34.2,472984
20231123,BDFINANCE,44.1,44.1,44.1,44.1,1
20231123,BDTHAI,19.2,20.4,18.8,20.1,6695194
20231123,BDTHAIFOOD,34.8,34.8,34.8,34.8,700
20231123,BDWELDING,22.6,23.9,22.6,23.3,623395
20231123,BEACHHATCH,48.8,49.1,47.9,48.9,716117
20231123,BENGALWTL,24.9,25.7,24.9,25.5,540376
20231123,BERGERPBL,1720,1721,1718.3,1719.4,497
20231123,BEXGSUKUK,85,85,85,85,1500
20231123,BEXIMCO,115.6,115.6,115.6,115.6,101
