ticker,mu,sigma,mu_annualized,sigma_annualized
ACB,-0.0018599628512368433,0.025598867505999878,-0.463130749957974,0.4039433158004281
BCM,0.0009073856155381923,0.028496972547480823,0.2259390182690099,0.4496746419897358
BID,0.00010541456254994573,0.027769570186033935,0.026248226074936487,0.43819642633292794
BVH,-0.00073795642411064,0.02584897078573093,-0.18375114960354935,0.40788987898660983
CTG,-0.0009415882584353973,0.027318155055424617,-0.23445547635041392,0.43107321572144
FPT,-0.0007806645330248965,0.025996765992935995,-0.19438546872319923,0.4102220480188466
GAS,0.00018626216700851552,0.026841476030623538,0.046379279585120364,0.42355134758389323
GVR,-0.003982490639019844,0.03383113813754111,-0.9916401691159411,0.5338463552490227
HDB,-0.002688174361456257,0.02497215817162383,-0.6693554160026081,0.3940540093101466
HPG,-0.003837395361555969,0.03474349150747073,-0.9555114450274363,0.5482430485927687
MBB,-0.0021489568103037027,0.028694474348928495,-0.5350902457656219,0.45279116784911727
MSN,-0.00244604041505785,0.030337848241922438,-0.6090640633494047,0.4787231704769774
MWG,-0.004630712832221389,0.04827801998090367,-1.153047495223126,0.7618143055271782
NVL,-0.007495150687110929,0.02701526351975158,-1.8662925210906214,0.42629366790671835
PDR,-0.00781490019700929,0.035050764497462965,-1.9459101490553132,0.5530917345904709
PLX,-0.002168865353327961,0.02446030356238825,-0.5400474729786623,0.3859770798126252
POW,-0.0020401797085315278,0.031242628680354642,-0.5080047474243504,0.49300036497732036
SAB,0.0003755594771948265,0.017787489384376916,0.09351430982151179,0.2806818481327765
SSI,-0.004366459959910819,0.03480370382654217,-1.0872485300177939,0.5491931829614884
STB,-0.0014145405365034234,0.03263377584912121,-0.3522205935893524,0.5149522970300268
TCB,-0.0026894085756099403,0.026709748661704665,-0.6696627353268751,0.42147272476316555
TPB,-0.002726075771519119,0.025730832317486792,-0.6787928671082607,0.40602568540168127
VCB,5.0517197617909996e-05,0.018739797721788787,0.012578782206859589,0.29570902022890083
VHM,-0.0021848136189628786,0.020746673388240204,-0.5440185911217568,0.32737698409158245
VIB,-0.0037177502898112767,0.0351155326721878,-0.9257198221630079,0.5541137591488058
VIC,-0.002325601302410031,0.02059256512372852,-0.5790747243000978,0.32494519669534283
VJC,-0.0006363322183334787,0.016611869108363302,-0.15844672236503618,0.2621308730826557
VN30INDEX,-0.001724942593370897,0.016750127630010565,-0.42951070574935335,0.26431255575509305
VNINDEX,-0.0016217620482446029,0.01572493556649338,-0.4038187500129061,0.2481352978599009
VNM,-0.0005468115102300932,0.01750127678665297,-0.13615606604729322,0.27616548951959313
VPB,-0.0028227961275424304,0.03582727128584566,-0.7028762357580651,0.5653448050345963
VRE,-0.0005685894511309431,0.028776279573970862,-0.14157877333160485,0.4540820325268484
