,1_week,2_week,3_week,1_month,2_month,6_month,12_month
00DS30,0.18002403,0.741581953,1.34871584,2.839238424,3.518062498,7.081283497,9.76462334
00DSEX,0.00569174,0.513959409,1.320802062,2.030415543,1.439992948,6.309590288,8.877075307
BATBC,0.496937295,0.8114582,1.404692051,1.818150014,3.508988792,10.15627057,18.65608468
BBSCABLES,0.33654627,0.572392865,0.848177319,1.10726797,2.210842984,5.974101618,
BEACONPHAR,9.383772264,5.792963377,5.231043367,3.935788798,4.887363843,37.07692968,
BEXIMCO,0.717555355,1.288828092,1.873124314,2.492251699,4.892478448,13.19508301,23.07287743
BRACBANK,0.945607243,1.565923945,2.493018117,3.268035067,6.195058673,10.84742798,24.98210793
BSC,3.14808359,6.006824519,7.499894158,5.952868997,3.687830662,20.67050197,71.11238073
BSCCL,0.177156271,0.222495885,0.358792082,0.361974549,0.826682741,2.089085965,
BSRMLTD,0.459702333,0.736455619,1.084315807,1.419343346,2.580763963,7.491366177,
BXPHARMA,0.770480866,1.436099729,2.700426639,3.160888661,5.124960155,13.98831301,24.61667161
CITYBANK,0.546571962,0.919167242,1.504471018,1.98289787,3.942025087,9.592248342,18.8656934
DELTALIFE,0.934232675,1.725116308,2.222409349,2.918418668,5.852116356,26.24731939,30.28388405
FORTUNE,0.645261484,1.082027803,1.562145757,2.1843876,4.209595759,11.97323169,
GP,0.502245433,0.859624818,1.348360598,1.812154044,3.321690415,9.792092422,17.96084021
GPHISPAT,0.543895193,0.862375341,1.190068872,1.581620289,3.089191006,9.003900259,
IDLC,0.687668488,1.180757491,1.914166112,2.575984189,4.884050856,13.14738886,
IFIC,0.955658961,1.704999486,2.75887053,3.570394808,6.918924199,16.89135871,31.4683262
ISLAMIBANK,0.413502681,0.181306225,0.686869706,0.054581693,0.786413188,2.538149094,
LHBL,0.365460304,0.502634756,0.779572489,1.071027965,1.771906872,11.06944739,14.94318505
MPETROLEUM,0.024049703,0.000910435,0.013548912,0.02864032,0.104094223,1.020437981,0.74705009
OLYMPIC,0.102608653,0.474112444,0.212039181,8.923271723,18.59184295,27.75717551,35.25767777
ORIONPHARM,1.63633244,4.162933932,3.718109352,3.427554573,1.880937081,2.826398937,7.981378366
POWERGRID,0.313212663,0.61533508,0.960739,1.326308477,2.271262793,7.61197181,
RENATA,0.156869704,0.315143735,0.558227682,0.743423013,1.48449195,4.021924112,
ROBI,0.324952054,0.514068684,0.921467186,1.280915501,2.451009117,7.443398853,13.51853963
SEAPEARL,7.36616377,8.844382376,13.7657729,23.04560068,10.68032076,84.33163978,477.1656903
SOUTHEASTB,0.330587819,0.58095437,0.946347703,1.205418866,2.382083158,3.431030348,
SQURPHARMA,0.049657637,0.12384423,0.187845454,0.291541183,0.58920746,1.612898814,2.908805055
TITASGAS,0.316921934,0.642948578,1.055506374,1.341588044,2.678293958,7.170558036,
UNIQUEHRL,1.472710436,6.996629526,9.642563861,19.37307151,6.682733298,15.89664564,11.60408227
UPGDCL,0.151378518,0.242343035,0.36359198,0.515227568,1.019288965,3.328555067,
