,2_month_actual,2_month_predict,2_month_mape,6_month_actual,6_month_predict,6_month_mape,12_month_actual,12_month_predict,12_month_mape
ACB,25.35,20.250569634945315,20.11609611,22.05,17.488835136837476,20.68555493,23.9,13.722722722057638,42.58275012
BCM,84.0,83.14076431827702,1.022899621,79.2,89.00892566713578,12.38500716,62.9,100.16857429275544,59.25051557
BID,47.65,39.5838206780166,16.92797339,43.35,39.87650573408405,8.0126742,43.4,40.22500585625619,7.315654709
BVH,49.45,45.22495748021043,8.544069807,44.1,42.75313522386625,3.054115139,39.5,39.01188984553314,1.23572191
CTG,29.4,26.26020971374289,10.6795588,29.5,24.416331293461354,17.23277528,27.1,21.540032351690023,20.51648579
FPT,80.6,74.403706177336,7.687709457,86.0,69.95648638487958,18.65524839,96.1,63.35778460244718,34.07098376
GAS,106.8,102.83416750905866,3.713326302,93.0,104.7974864365962,12.68546929,75.5,106.8617809728598,41.53878275
GVR,15.15,11.61596362574019,23.32697277,19.4,8.50929394308351,56.13766009,21.2,5.082355414153037,76.0266254
HDB,18.5,14.307188595523986,22.66384543,18.6,11.577265772394286,37.75663563,20.3,8.158023100092137,59.81269409
HPG,21.2,15.470639396691013,27.02528586,26.15,11.483096438574668,56.08758532,27.95,7.034598362477233,74.83149065
MBB,17.8,15.689389571976385,11.85736196,20.2,13.26982345215908,34.30780469,18.65,10.106234062784006,45.81107741
MSN,80.8,85.67453296864996,6.032837832,75.2,70.90113915741071,5.716570269,67.0,52.10152160425901,22.23653492
MWG,40.0,34.99773856364152,12.50565359,43.3,24.36730485126637,43.72446917,42.8,13.54452919386994,68.35390375
NVL,10.95,10.130656363212822,7.48259029,14.85,5.651714660325223,61.94131542,17.05,2.171433226761488,87.26432125
PDR,12.0,9.95274157640464,17.06048686,16.8,5.405689155980822,67.82327883,27.85,1.9848459814650463,92.87308445
PLX,39.0,28.99414667513062,25.65603417,37.35,24.42497870960185,34.60514402,34.5,18.505726684536643,46.36021251
POW,13.0,9.738889463308348,25.08546567,13.4,8.285000224399736,38.17164012,11.25,6.33927502942021,43.65088863
SAB,186.5,174.11203687695743,6.642339476,153.6,179.64226943234118,16.9546025,63.0,188.0290957772792,198.4588822
SSI,19.8,14.647535848378338,26.02254622,25.8,10.42317437914588,59.60009931,32.8,5.940048518540476,81.89009598
STB,26.5,21.145083808049502,20.20723091,29.8,18.82606550787241,36.82528353,27.95,15.67066814291107,43.93320879
TCB,27.8,22.86262619153685,17.76033744,32.35,18.51542277959931,42.76530825,31.8,13.11072720831471,58.77129809
TPB,24.5,18.686269017089568,23.72951422,18.0,15.143750497833672,15.86805279,17.4,10.615976825793195,38.98863893
VCB,93.0,80.39747051624651,13.55110697,100.0,80.9435163501983,19.05648365,80.3,81.31129892984019,1.259400909
VHM,42.4,43.70117380256252,3.068806138,55.0,36.86247416155483,32.97731971,43.2,27.94215131814395,35.31909417
VIB,21.2,16.171245957110408,23.72053794,19.65,12.106217574538771,38.39075026,19.6,7.510877596533102,61.67919594
VIC,53.0,48.62842231798182,8.248259777,51.0,40.39020192616023,20.80352563,44.6,30.03351572445683,32.66027864
VJC,101.8,106.436526325087,4.554544524,94.3,101.25680545741922,7.377312256,108.0,93.0131359427286,13.87672598
VN30INDEX,1050.28,938.5963288738544,10.63370445,1123.13,819.0814053622105,27.07154066,1131.46,657.6655217828534,41.87461141
VNINDEX,1055.95,943.4485507417372,10.65405078,1120.18,831.0573302306474,25.81037599,1129.93,674.0964543919068,40.34175087
VNM,76.5,74.77990556842482,2.248489453,71.0,71.75518348793145,1.063638715,67.6,66.7880261295925,1.201144779
VPB,18.2,15.937958154592376,12.42880135,19.85,12.784813341464105,35.59287989,19.2,8.907526748286744,53.60663152
VRE,27.0,26.431796928975032,2.104455819,26.8,25.23903560805954,5.824494,23.3,23.63576880459826,1.441067831
