,1_week,2_week,3_week,1_month,2_month,6_month,12_month
ACB,7.374319032,15.00633231,18.24718168,14.72476717,20.11609611,20.68555493,42.58275012
BCM,1.911359109,3.232342427,4.309744144,3.455057534,1.022899621,12.38500716,59.25051557
BID,4.743284154,12.50554843,12.74490147,11.2599487,16.92797339,8.0126742,7.315654709
BVH,3.311403868,4.949126485,8.771064725,7.010417716,8.544069807,3.054115139,1.23572191
CTG,4.631756616,11.39023459,11.48085078,10.38897298,10.6795588,17.23277528,20.51648579
FPT,4.80211179,6.953765779,9.008996727,6.911510641,7.687709457,18.65524839,34.07098376
GAS,2.426502938,1.943454507,3.944435682,4.686433871,3.713326302,12.68546929,41.53878275
GVR,6.507784282,16.32347587,22.6357601,14.32070046,23.32697277,56.13766009,76.0266254
HDB,5.495070225,9.457133838,17.41159094,17.1966722,22.66384543,37.75663563,59.81269409
HPG,9.854115507,19.06560423,22.15331454,19.25208944,27.02528586,56.08758532,74.83149065
MBB,6.610832128,13.13531315,14.7219189,10.72280148,11.85736196,34.30780469,45.81107741
MSN,1.89862741,4.920631786,9.368279659,3.44470243,6.032837832,5.716570269,22.23653492
MWG,1.581669346,5.703446667,14.75474011,13.2875255,12.50565359,43.72446917,68.35390375
NVL,4.173945167,7.997441965,12.65473201,17.08817269,7.48259029,61.94131542,87.26432125
PDR,6.569982298,9.263342189,11.11072394,5.013450031,17.06048686,67.82327883,92.87308445
PLX,14.61281578,16.65052915,16.42536315,18.32118582,25.65603417,34.60514402,46.36021251
POW,10.33003839,14.52228641,17.13289244,17.11170818,25.08546567,38.17164012,43.65088863
SAB,2.679511941,8.198159297,8.947675323,12.52668211,6.642339476,16.9546025,198.4588822
SSI,8.384449508,17.07108907,23.56006041,17.66303944,26.02254622,59.60009931,81.89009598
STB,10.4102382,16.55231258,19.00153825,12.87155776,20.20723091,36.82528353,43.93320879
TCB,7.677890279,13.89559962,16.21622399,13.05951531,17.76033744,42.76530825,58.77129809
TPB,8.040314209,11.20099007,19.43900345,19.47672468,23.72951422,15.86805279,38.98863893
VCB,8.10104298,10.23101429,12.59177762,14.64519234,13.55110697,19.05648365,1.259400909
VHM,4.982570739,9.985341522,9.035363566,1.940282713,3.068806138,32.97731971,35.31909417
VIB,12.14422655,20.28654044,23.95037952,24.610812,23.72053794,38.39075026,61.67919594
VIC,2.737996495,5.07208039,9.281169876,6.063095536,8.248259777,20.80352563,32.66027864
VJC,0.000755,1.615223933,6.83192417,0.072005271,4.554544524,7.377312256,13.87672598
VN30INDEX,5.688042144,10.12453439,12.59257145,9.342531168,10.63370445,27.07154066,41.87461141
VNINDEX,4.927016182,8.77270642,11.40021984,9.116429364,10.65405078,25.81037599,40.34175087
VNM,5.882554963,6.003334249,1.577434733,0.152133882,2.248489453,1.063638715,1.201144779
VPB,5.230177095,10.86373645,11.41986151,5.675702613,12.42880135,35.59287989,53.60663152
VRE,8.44096519,9.935996861,9.677173936,6.230994129,2.104455819,5.824494,1.441067831
