,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
00DS30,2231.26,2167.91,2.84,2195.50,1.60
00DSEX,6288.33,6160.65,2.03,6208.96,1.26
BATBC,518.70,509.27,1.82,518.70,0.00
BBSCABLES,49.90,49.35,1.11,49.90,0.00
BEACONPHAR,322.00,309.33,3.94,286.11,11.15
BEXIMCO,115.60,112.72,2.49,115.60,0.00
BRACBANK,38.50,37.24,3.27,38.50,0.00
BSC,128.50,120.85,5.95,115.36,10.22
BSCCL,218.90,219.69,0.36,218.90,0.00
BSRMLTD,90.00,88.63,1.42,90.00,0.00
BXPHARMA,146.70,142.06,3.16,146.15,0.38
CITYBANK,21.80,21.37,1.98,21.80,0.00
DELTALIFE,136.50,132.52,2.92,136.50,0.00
FORTUNE,75.70,74.05,2.18,75.70,0.00
GP,286.60,281.41,1.81,286.60,0.00
GPHISPAT,44.80,44.09,1.58,44.80,0.00
IDLC,46.50,45.30,2.58,46.50,0.00
IFIC,11.50,11.09,3.57,11.50,0.00
ISLAMIBANK,33.10,33.08,0.05,33.00,0.30
LHBL,64.80,64.11,1.07,64.80,0.00
MPETROLEUM,198.60,198.54,0.03,198.60,0.00
OLYMPIC,133.90,121.95,8.92,124.03,7.37
ORIONPHARM,84.80,81.89,3.43,82.81,2.35
POWERGRID,52.40,51.67,1.33,52.40,0.00
RENATA,1217.90,1208.85,0.74,1217.90,0.00
ROBI,30.00,29.62,1.28,30.00,0.00
SEAPEARL,283.30,218.01,23.05,186.70,34.10
SOUTHEASTB,13.80,13.63,1.21,13.80,0.00
SQURPHARMA,209.80,209.19,0.29,209.80,0.00
TITASGAS,40.90,41.54,1.34,40.90,0.00
UNIQUEHRL,70.30,56.68,19.37,57.74,17.87
UPGDCL,233.70,232.46,0.52,233.70,0.00
,,,,,
Mean,,,3.36,,2.71
Median,,,1.90,,0.00
Range,,,23.02,,34.10
Min,,,0.03,,0.00
Max,,,23.05,,34.10
Standard Deviation,,,4.95,,6.94
