,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
00DS30,2204.35,2174.62,1.35,2195.50,0.40
00DSEX,6255.93,6173.30,1.32,6208.96,0.75
BATBC,518.70,511.41,1.40,518.70,0.00
BBSCABLES,49.90,49.48,0.85,49.90,0.00
BEACONPHAR,292.70,308.01,5.23,286.11,2.25
BEXIMCO,115.60,113.43,1.87,115.60,0.00
BRACBANK,38.50,37.54,2.49,38.50,0.00
BSC,129.60,119.88,7.50,115.36,10.99
BSCCL,218.90,219.69,0.36,218.90,0.00
BSRMLTD,90.00,88.94,1.08,90.00,0.00
BXPHARMA,147.00,143.03,2.70,146.15,0.58
CITYBANK,21.80,21.47,1.50,21.80,0.00
DELTALIFE,136.60,133.56,2.22,136.50,0.07
FORTUNE,75.70,74.52,1.56,75.70,0.00
GP,286.60,282.74,1.35,286.60,0.00
GPHISPAT,44.80,44.27,1.19,44.80,0.00
IDLC,46.50,45.61,1.91,46.50,0.00
IFIC,11.50,11.18,2.76,11.50,0.00
ISLAMIBANK,33.30,33.07,0.69,33.00,0.90
LHBL,64.80,64.29,0.78,64.80,0.00
MPETROLEUM,198.60,198.57,0.01,198.60,0.00
OLYMPIC,123.00,122.74,0.21,124.03,0.84
ORIONPHARM,85.20,82.03,3.72,82.81,2.80
POWERGRID,52.40,51.85,0.96,52.40,0.00
RENATA,1217.90,1211.10,0.56,1217.90,0.00
ROBI,30.00,29.72,0.92,30.00,0.00
SEAPEARL,245.00,211.27,13.77,186.70,23.80
SOUTHEASTB,13.80,13.67,0.95,13.80,0.00
SQURPHARMA,209.80,209.41,0.19,209.80,0.00
TITASGAS,40.90,41.35,1.06,40.90,0.00
UNIQUEHRL,62.50,56.47,9.64,57.74,7.62
UPGDCL,233.70,232.70,0.36,233.70,0.00
,,,,,
Mean,,,2.26,,1.59
Median,,,1.33,,0.00
Range,,,13.75,,23.80
Min,,,0.01,,0.00
Max,,,13.77,,23.80
Standard Deviation,,,2.90,,4.61
