,Actual Price,Forecast by GBM,Forecast by ARIMA,GBM MAPE,ARIMA MAPE
ACB,23.45,21.72,21.89,7.37,6.63
BCM,82,80.43,80.64,1.91,1.66
BID,41.3,39.34,38.69,4.74,6.32
BVH,48,46.41,46.6,3.31,2.92
CTG,28.55,27.23,27.24,4.63,4.59
FPT,80.4,76.54,76.94,4.8,4.31
GAS,104.6,102.06,101.53,2.43,2.93
GVR,14.4,13.46,13.8,6.51,4.17
HDB,16.75,15.83,15.95,5.5,4.77
HPG,19.8,17.85,18,9.85,9.09
MBB,18.2,17,17.09,6.61,6.12
MSN,95.4,93.59,92.93,1.9,2.59
MWG,42.2,41.53,42.9,1.58,1.66
NVL,13.95,13.37,13.59,4.17,2.6
PDR,14.25,13.31,13.61,6.57,4.49
PLX,36.85,31.47,31.73,14.61,13.91
POW,11.7,10.49,10.64,10.33,9.02
SAB,176.1,171.38,167.36,2.68,4.96
SSI,18.9,17.32,17.72,8.38,6.26
STB,24.95,22.35,22.49,10.41,9.84
TCB,27.45,25.34,25.83,7.68,5.9
TPB,22.5,20.69,21.09,8.04,6.29
VCB,87.3,80.23,79.92,8.1,8.46
VHM,49.75,47.27,48.01,4.98,3.5
VIB,21.15,18.58,19.01,12.14,10.12
VIC,54.5,53.01,53.82,2.74,1.25
VJC,109.1,109.1,109.49,0,0.36
VN30INDEX,1060.53,1000.21,1005.1,5.69,5.23
VNINDEX,1053.35,1001.45,1006.91,4.93,4.41
VNM,81,76.24,76.12,5.88,6.03
VPB,18.7,17.72,17.9,5.23,4.27
VRE,29.4,26.92,26.32,8.44,10.48
,,,,,
Mean,,,,6,5.47
Median,,,,5.6,4.87
Range,,,,14.61,13.55
Min,,,,0,0.36
Max,,,,14.61,13.91
Standard Deviation,,,,3.22,3.01
