,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
ACB,25.35,20.25,20.12,21.89,13.63
BCM,84.00,83.14,1.02,80.64,4.00
BID,47.65,39.58,16.93,38.69,18.81
BVH,49.45,45.22,8.54,46.60,5.77
CTG,29.40,26.26,10.68,27.24,7.35
FPT,80.60,74.40,7.69,76.94,4.55
GAS,106.80,102.83,3.71,101.53,4.93
GVR,15.15,11.62,23.33,13.80,8.91
HDB,18.50,14.31,22.66,15.95,13.78
HPG,21.20,15.47,27.03,18.00,15.09
MBB,17.80,15.69,11.86,17.09,4.01
MSN,80.80,85.67,6.03,92.93,15.01
MWG,40.00,35.00,12.51,42.90,7.25
NVL,10.95,10.13,7.48,13.59,24.07
PDR,12.00,9.95,17.06,13.61,13.41
PLX,39.00,28.99,25.66,31.73,18.65
POW,13.00,9.74,25.09,10.64,18.12
SAB,186.50,174.11,6.64,167.36,10.26
SSI,19.80,14.65,26.02,17.72,10.52
STB,26.50,21.15,20.21,22.49,15.11
TCB,27.80,22.86,17.76,25.83,7.08
TPB,24.50,18.69,23.73,21.09,13.94
VCB,93.00,80.40,13.55,79.92,14.07
VHM,42.40,43.70,3.07,48.01,13.23
VIB,21.20,16.17,23.72,19.01,10.33
VIC,53.00,48.63,8.25,53.82,1.55
VJC,101.80,106.44,4.55,109.49,7.55
VN30INDEX,1050.28,938.60,10.63,1005.10,4.30
VNINDEX,1055.95,943.45,10.65,1006.91,4.64
VNM,76.50,74.78,2.25,76.12,0.50
VPB,18.20,15.94,12.43,17.90,1.64
VRE,27.00,26.43,2.10,26.32,2.52
,,,,,
Mean,,,13.53,,9.83
Media,,,12.15,,9.59
Range,,,26.01,,23.57
Min,,,1.02,,0.50
Max,,,27.03,,24.07
Standard Deviation,,,8.09,,5.86
