,Actual Price,Forecast by GBM,GBM MAPE,Forecast by ARIMA,ARIMA MAPE
ACB,25.30,21.50,15.01,21.89,13.46
BCM,83.50,80.80,3.23,80.64,3.42
BID,44.95,39.33,12.51,38.69,13.93
BVH,48.60,46.19,4.95,46.60,4.12
CTG,30.60,27.11,11.39,27.24,10.98
FPT,82.00,76.30,6.95,76.94,6.18
GAS,104.20,102.17,1.94,101.53,2.56
GVR,15.75,13.18,16.32,13.80,12.38
HDB,17.25,15.62,9.46,15.95,7.53
HPG,21.65,17.52,19.07,18.00,16.86
MBB,19.40,16.85,13.14,17.09,11.93
MSN,97.50,92.70,4.92,92.93,4.69
MWG,43.05,40.59,5.70,42.90,0.35
NVL,14.00,12.88,8.00,13.59,2.96
PDR,14.10,12.79,9.26,13.61,3.48
PLX,37.35,31.13,16.65,31.73,15.06
POW,12.15,10.39,14.52,10.64,12.39
SAB,187.00,171.67,8.20,167.36,10.50
SSI,20.40,16.92,17.07,17.72,13.15
STB,26.55,22.16,16.55,22.49,15.27
TCB,29.00,24.97,13.90,25.83,10.93
TPB,23.00,20.42,11.20,21.09,8.33
VCB,89.40,80.25,10.23,79.92,10.61
VHM,52.00,46.81,9.99,48.01,7.67
VIB,22.90,18.25,20.29,19.01,16.99
VIC,55.20,52.40,5.07,53.82,2.50
VJC,110.60,108.81,1.62,109.49,1.00
VN30INDEX,1103.73,991.98,10.12,1005.10,8.94
VNINDEX,1088.29,992.82,8.77,1006.91,7.48
VNM,80.90,76.04,6.00,76.12,5.91
VPB,19.60,17.47,10.86,17.90,8.67
VRE,29.85,26.88,9.94,26.32,11.83
,,,,,
Mean,,,10.40,,8.81
Media,,,10.06,,8.81
Range,,,18.67,,16.64
Min,,,1.62,,0.35
Max,,,20.29,,16.99
Standard Deviation,,,4.84,,4.68
