,,3 Week,,,1 Month,
,Actual Price,Predict Price,MAPE(%),Actual Price,Predict Price,MAPE(%)
00DS30,2204.35,2174.62,1.35,2231.26,2167.91,2.84
00DSEX,6255.93,6173.30,1.32,6288.33,6160.65,2.03
BATBC,518.70,511.41,1.40,518.70,509.27,1.82
BBSCABLES,49.90,49.48,0.85,49.90,49.35,1.11
BEACONPHAR,292.70,308.01,5.23,322.00,309.33,3.94
BEXIMCO,115.60,113.43,1.87,115.60,112.72,2.49
BRACBANK,38.50,37.54,2.49,38.50,37.24,3.27
BSC,129.60,119.88,7.50,128.50,120.85,5.95
BSCCL,218.90,219.69,0.36,218.90,219.69,0.36
BSRMLTD,90.00,89.02,1.08,90.00,88.72,1.42
BXPHARMA,147.00,143.03,2.70,146.70,142.06,3.16
CITYBANK,21.80,21.47,1.50,21.80,21.37,1.98
DELTALIFE,136.60,133.56,2.22,136.50,132.52,2.92
FORTUNE,75.70,74.52,1.56,75.70,74.05,2.18
GP,286.60,282.74,1.35,286.60,281.41,1.81
GPHISPAT,44.80,44.27,1.19,44.80,44.09,1.58
IDLC,46.50,45.61,1.91,46.50,45.30,2.58
IFIC,11.50,11.18,2.76,11.50,11.09,3.57
ISLAMIBANK,33.30,33.07,0.69,33.10,33.08,0.05
LHBL,64.80,64.29,0.78,64.80,64.11,1.07
MPETROLEUM,198.60,198.57,0.01,198.60,198.54,0.03
OLYMPIC,123.00,122.74,0.21,133.90,121.95,8.92
ORIONPHARM,85.20,82.03,3.72,84.80,81.89,3.43
POWERGRID,52.40,51.90,0.96,52.40,51.71,1.33
RENATA,1217.90,1211.10,0.56,1217.90,1208.85,0.74
ROBI,30.00,29.72,0.92,30.00,29.62,1.28
SEAPEARL,245.00,211.27,13.77,283.30,218.01,23.05
SOUTHEASTB,13.80,13.67,0.95,13.80,13.63,1.21
SQURPHARMA,209.80,209.41,0.19,209.80,209.19,0.29
TITASGAS,40.90,41.33,1.06,40.90,41.45,1.34
UNIQUEHRL,62.50,56.47,9.64,70.30,56.68,19.37
UPGDCL,233.70,232.85,0.36,233.70,232.50,0.52
