,1_week_actual,1_week_predict,1_week_mape,2_week_actual,2_week_predict,2_week_mape,3_week_actual,3_week_predict,3_week_mape,1_month_actual,1_month_predict,1_month_mape
00DS30,2191.50951,2187.564266265936,0.18002403,2199.04861,2182.740862376908,0.741581953,2204.34962,2174.6192075094214,1.34871584,2231.25795,2167.907216944885,2.839238424
00DSEX,6192.30575,6191.953300051276,0.00569174,6215.04937,6183.106539003242,0.513959409,6255.93088,6173.302415947092,1.320802062,6288.33426,6160.6549437580425,2.030415543
BATBC,518.7,516.1223862512511,0.496937295,518.7,514.4909663158909,0.8114582,518.7,511.4138623322011,1.404692051,518.7,509.2692558780865,1.818150014
BBSCABLES,49.9,49.73206341126704,0.33654627,49.9,49.61437596036983,0.572392865,49.9,49.47675951759055,0.848177319,49.9,49.347473283119776,1.10726797
BEACONPHAR,279.6,305.8370272502437,9.383772264,289.8,306.58800786591905,5.792963377,292.7,308.01126393615,5.231043367,322.0,309.3267600709382,3.935788798
BEXIMCO,115.6,114.770506009632,0.717555355,115.6,114.11011472508346,1.288828092,115.6,113.43466829302324,1.873124314,115.6,112.71895703545958,2.492251699
BRACBANK,38.5,38.13594121149347,0.945607243,38.5,37.89711928113788,1.565923945,38.5,37.540188024811286,2.493018117,38.5,37.24180649908214,3.268035067
BSC,114.0,117.58881529244442,3.14808359,126.1,118.525394281425,6.006824519,129.6,119.8801371708466,7.499894158,128.5,120.85056333940074,5.952868997
BSCCL,218.9,219.28779507747103,0.177156271,218.9,219.3870434924517,0.222495885,218.9,219.6853958685176,0.358792082,218.9,219.69236228824863,0.361974549
BSRMLTD,90.0,89.58626790070866,0.459702333,90.0,89.3371899430203,0.736455619,90.0,89.02411577364104,1.084315807,90.0,88.7225909888637,1.419343346
BXPHARMA,146.2,145.07355697371094,0.770480866,146.3,144.1989860968018,1.436099729,147.0,143.03037284131986,2.700426639,146.7,142.06297633378657,3.160888661
CITYBANK,21.8,21.68084731233287,0.546571962,21.8,21.59962154123636,0.919167242,21.8,21.47202531796878,1.504471018,21.8,21.36772826437916,1.98289787
DELTALIFE,136.6,135.32383816589262,0.934232675,137.0,134.6365906580183,1.725116308,136.6,133.5641888293157,2.222409349,136.5,132.51635851773807,2.918418668
FORTUNE,75.7,75.21153705630714,0.645261484,75.7,74.88090495282377,1.082027803,75.7,74.51745566159374,1.562145757,75.7,74.04641858667955,2.1843876
GP,286.6,285.1605645876025,0.502245433,286.6,284.13631527022136,0.859624818,286.6,282.7355985261773,1.348360598,286.6,281.4063665107104,1.812154044
GPHISPAT,44.8,44.55633495372993,0.543895193,44.8,44.4136558472091,0.862375341,44.8,44.26684914513429,1.190068872,44.8,44.09143411035962,1.581620289
IDLC,46.5,46.18023415285009,0.687668488,46.5,45.95094776651735,1.180757491,46.5,45.60991275784792,1.914166112,46.5,45.302167352346416,2.575984189
IFIC,11.5,11.39009921948682,0.955658961,11.5,11.303925059133492,1.704999486,11.5,11.182729889017178,2.75887053,11.5,11.08940459710351,3.570394808
ISLAMIBANK,32.9,33.03604238189486,0.413502681,33.0,33.059831054311736,0.181306225,33.3,33.071272387746255,0.686869706,33.1,33.08193345952364,0.054581693
LHBL,64.8,64.56318172283838,0.365460304,64.8,64.47429267796032,0.502634756,64.8,64.29483702739914,0.779572489,64.8,64.10597387859035,1.071027965
MPETROLEUM,198.6,198.55223729066785,0.024049703,198.6,198.59819187597816,0.000910435,198.6,198.57309186016536,0.013548912,198.6,198.54312032442635,0.02864032
OLYMPIC,124.0,123.872765270166,0.102608653,122.8,123.38221008109964,0.474112444,123.0,122.7391918071398,0.212039181,133.9,121.951739163017,8.923271723
ORIONPHARM,81.2,82.52870194112803,1.63633244,85.9,82.32403975237764,4.162933932,85.2,82.0321708323691,3.718109352,84.8,81.89343372183896,3.427554573
POWERGRID,52.4,52.23587656440075,0.313212663,52.4,52.07756441815822,0.61533508,52.4,51.89657276415153,0.960739,52.4,51.70501435815903,1.326308477
RENATA,1217.9,1215.9894838706364,0.156869704,1217.9,1214.061864454159,0.315143735,1217.9,1211.1013450577211,0.558227682,1217.9,1208.8458511305632,0.743423013
ROBI,30.0,29.902514383772232,0.324952054,30.0,29.845779394828405,0.514068684,30.0,29.723559844164587,0.921467186,30.0,29.6157253497608,1.280915501
SEAPEARL,214.0,198.23640953138693,7.36616377,223.0,203.2770273019298,8.844382376,245.0,211.27385640530088,13.7657729,283.3,218.01181328617568,23.04560068
SOUTHEASTB,13.8,13.754378880981273,0.330587819,13.8,13.719828296930991,0.58095437,13.8,13.669404016971972,0.946347703,13.8,13.633652196449006,1.205418866
SQURPHARMA,209.8,209.69581827812613,0.049657637,209.8,209.5401748052625,0.12384423,209.8,209.4059002380726,0.187845454,209.8,209.18834659794655,0.291541183
TITASGAS,40.9,41.029621071073066,0.316921934,40.9,41.16296596828863,0.642948578,40.9,41.33170210700613,1.055506374,40.9,41.44870951018783,1.341588044
UNIQUEHRL,57.0,56.16055505122768,1.472710436,60.6,56.36004250700354,6.996629526,62.5,56.4733975867284,9.642563861,70.3,56.68073073144391,19.37307151
UPGDCL,233.7,233.34622840262944,0.151378518,233.7,233.13364432672455,0.242343035,233.7,232.85028554172376,0.36359198,233.7,232.49591317385187,0.515227568
