,,2-month,,,6-month,,,12-month,
,Actual Price,Predict Price,MAPE(%),Actual Price,Predict Price,MAPE(%),Actual Price,Predict Price,MAPE(%)
ACB,25.35,20.25,20.12,22.05,17.49,20.69,23.9,13.72,42.58
BCM,84,83.14,1.02,79.2,89.01,12.39,62.9,100.17,59.25
BID,47.65,39.58,16.93,43.35,39.88,8.01,43.4,40.23,7.32
BVH,49.45,45.22,8.54,44.1,42.75,3.05,39.5,39.01,1.24
CTG,29.4,26.26,10.68,29.5,24.42,17.23,27.1,21.54,20.52
FPT,80.6,74.4,7.69,86,69.96,18.66,96.1,63.36,34.07
GAS,106.8,102.83,3.71,93,104.8,12.69,75.5,106.86,41.54
GVR,15.15,11.62,23.33,19.4,8.51,56.14,21.2,5.08,76.03
HDB,18.5,14.31,22.66,18.6,11.58,37.76,20.3,8.16,59.81
HPG,21.2,15.47,27.03,26.15,11.48,56.09,27.95,7.03,74.83
MBB,17.8,15.69,11.86,20.2,13.27,34.31,18.65,10.11,45.81
MSN,80.8,85.67,6.03,75.2,70.9,5.72,67,52.1,22.24
MWG,40,35,12.51,43.3,24.37,43.72,42.8,13.54,68.35
NVL,10.95,10.13,7.48,14.85,5.65,61.94,17.05,2.17,87.26
PDR,12,9.95,17.06,16.8,5.41,67.82,27.85,1.98,92.87
PLX,39,28.99,25.66,37.35,24.42,34.61,34.5,18.51,46.36
POW,13,9.74,25.09,13.4,8.29,38.17,11.25,6.34,43.65
SAB,186.5,174.11,6.64,153.6,179.64,16.95,63,188.03,198.46
SSI,19.8,14.65,26.02,25.8,10.42,59.6,32.8,5.94,81.89
STB,26.5,21.15,20.21,29.8,18.83,36.83,27.95,15.67,43.93
TCB,27.8,22.86,17.76,32.35,18.52,42.77,31.8,13.11,58.77
TPB,24.5,18.69,23.73,18,15.14,15.87,17.4,10.62,38.99
VCB,93,80.4,13.55,100,80.94,19.06,80.3,81.31,1.26
VHM,42.4,43.7,3.07,55,36.86,32.98,43.2,27.94,35.32
VIB,21.2,16.17,23.72,19.65,12.11,38.39,19.6,7.51,61.68
VIC,53,48.63,8.25,51,40.39,20.8,44.6,30.03,32.66
VJC,101.8,106.44,4.55,94.3,101.26,7.38,108,93.01,13.88
VN30INDEX,1050.28,938.6,10.63,1123.13,819.08,27.07,1131.46,657.67,41.87
VNINDEX,1055.95,943.45,10.65,1120.18,831.06,25.81,1129.93,674.1,40.34
VNM,76.5,74.78,2.25,71,71.76,1.06,67.6,66.79,1.2
VPB,18.2,15.94,12.43,19.85,12.78,35.59,19.2,8.91,53.61
VRE,27,26.43,2.1,26.8,25.24,5.82,23.3,23.64,1.44
,,,2-month,,,6 month,,,12 month
high accuracy,,,12,,,6,,,5
good forcast,,,10,,,7,,,1
reasonable forecast,,,10,,,14,,,14
Poor forecasting,,,,,,5,,,12
