,1_week,2_week,3_week,1_month,2_month,6_month,12_month,mean
ACB,7.37,15.01,18.25,14.72,20.12,20.69,42.58,19.82
BCM,1.91,3.23,4.31,3.46,1.02,12.39,59.25,12.22
BID,4.74,12.51,12.74,11.26,16.93,8.01,7.32,10.50
BVH,3.31,4.95,8.77,7.01,8.54,3.05,1.24,5.27
CTG,4.63,11.39,11.48,10.39,10.68,17.23,20.52,12.33
FPT,4.80,6.95,9.01,6.91,7.69,18.66,34.07,12.58
GAS,2.43,1.94,3.94,4.69,3.71,12.69,41.54,10.13
GVR,6.51,16.32,22.64,14.32,23.33,56.14,76.03,30.75
HDB,5.50,9.46,17.41,17.20,22.66,37.76,59.81,24.26
HPG,9.85,19.07,22.15,19.25,27.03,56.09,74.83,32.61
MBB,6.61,13.14,14.72,10.72,11.86,34.31,45.81,19.60
MSN,1.90,4.92,9.37,3.44,6.03,5.72,22.24,7.66
MWG,1.58,5.70,14.75,13.29,12.51,43.72,68.35,22.84
NVL,4.17,8.00,12.65,17.09,7.48,61.94,87.26,28.37
PDR,6.57,9.26,11.11,5.01,17.06,67.82,92.87,29.96
PLX,14.61,16.65,16.43,18.32,25.66,34.61,46.36,24.66
POW,10.33,14.52,17.13,17.11,25.09,38.17,43.65,23.71
SAB,2.68,8.20,8.95,12.53,6.64,16.95,198.46,36.34
SSI,8.38,17.07,23.56,17.66,26.02,59.60,81.89,33.46
STB,10.41,16.55,19.00,12.87,20.21,36.83,43.93,22.83
TCB,7.68,13.90,16.22,13.06,17.76,42.77,58.77,24.31
TPB,8.04,11.20,19.44,19.48,23.73,15.87,38.99,19.53
VCB,8.10,10.23,12.59,14.65,13.55,19.06,1.26,11.35
VHM,4.98,9.99,9.04,1.94,3.07,32.98,35.32,13.90
VIB,12.14,20.29,23.95,24.61,23.72,38.39,61.68,29.25
VIC,2.74,5.07,9.28,6.06,8.25,20.80,32.66,12.12
VJC,0.00,1.62,6.83,0.07,4.55,7.38,13.88,4.90
VN30INDEX,5.69,10.12,12.59,9.34,10.63,27.07,41.87,16.76
VNINDEX,4.93,8.77,11.40,9.12,10.65,25.81,40.34,15.86
VNM,5.88,6.00,1.58,0.15,2.25,1.06,1.20,2.59
VPB,5.23,10.86,11.42,5.68,12.43,35.59,53.61,19.26
VRE,8.44,9.94,9.68,6.23,2.10,5.82,1.44,6.24
